iter	Passed	Remaining
0	130	130029
1	131	65674
2	133	44269
3	134	33448
4	135	26957
5	136	22636
6	137	19530
7	138	17211
8	140	15480
9	142	14112
10	143	12891
11	144	11865
12	144	10998
13	145	10259
14	146	9625
15	147	9062
16	148	8563
17	148	8118
18	149	7725
19	150	7377
20	152	7114
21	153	6838
22	155	6608
23	157	6393
24	158	6179
25	159	5983
26	161	5809
27	163	5675
28	164	5505
29	165	5352
30	166	5218
31	169	5140
32	171	5012
33	172	4898
34	173	4788
35	175	4689
36	176	4590
37	177	4490
38	178	4397
39	180	4327
40	182	4259
41	183	4187
42	184	4111
43	190	4131
44	192	4087
45	195	4045
46	196	3979
47	197	3917
48	198	3853
49	199	3789
50	200	3726
51	201	3666
52	201	3607
53	202	3550
54	203	3496
55	204	3451
56	205	3401
57	206	3355
58	208	3320
59	209	3282
60	210	3244
61	211	3201
62	212	3163
63	213	3124
64	215	3092
65	216	3063
66	218	3043
67	219	3008
68	220	2975
69	221	2943
70	223	2928
71	225	2900
72	225	2869
73	227	2840
74	227	2811
75	228	2781
76	229	2752
77	230	2723
78	231	2696
79	232	2669
80	233	2643
81	233	2617
82	234	2588
83	235	2566
84	237	2555
85	238	2534
86	239	2512
87	240	2490
88	241	2469
89	242	2448
90	243	2427
91	244	2408
92	245	2390
93	245	2370
94	247	2353
95	248	2335
96	248	2317
97	249	2299
98	251	2285
99	252	2270
100	253	2254
101	254	2237
102	254	2220
103	255	2203
104	256	2188
105	257	2174
106	258	2159
107	259	2144
108	260	2129
109	261	2114
110	262	2099
111	262	2084
112	263	2070
113	264	2056
114	265	2045
115	266	2034
116	267	2020
117	268	2006
118	269	1993
119	270	1980
120	270	1968
121	271	1954
122	272	1942
123	273	1930
124	274	1918
125	274	1906
126	275	1894
127	276	1882
128	277	1873
129	278	1862
130	279	1851
131	280	1844
132	281	1835
133	282	1825
134	283	1814
135	284	1804
136	284	1794
137	285	1784
138	286	1775
139	287	1765
140	288	1755
141	288	1744
142	289	1735
143	290	1726
144	291	1718
145	292	1709
146	293	1700
147	293	1691
148	295	1686
149	296	1679
150	297	1671
151	298	1662
152	298	1654
153	299	1645
154	300	1637
155	301	1629
156	302	1621
157	302	1613
158	303	1606
159	304	1598
160	305	1590
161	306	1583
162	306	1576
163	307	1568
164	308	1561
165	310	1557
166	311	1552
167	312	1545
168	312	1538
169	313	1531
170	314	1524
171	315	1518
172	316	1511
173	317	1505
174	317	1498
175	318	1491
176	319	1484
177	320	1478
178	321	1472
179	321	1466
180	322	1460
