iter	Passed	Remaining
0	0	89
1	1	81
2	2	76
3	2	69
4	3	67
5	4	68
6	5	70
7	6	70
8	7	71
9	8	72
10	8	72
11	9	72
12	10	72
13	11	71
14	12	70
15	13	69
16	13	68
17	14	67
18	15	66
19	16	65
20	17	64
21	18	64
22	19	63
23	19	62
24	20	62
25	21	61
26	22	60
27	23	59
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
